"","ngrams","freq","prop"
"1","the end of the ",2488,7.38501271035487e-05
"2","at the end of ",2252,6.68450507384211e-05
"3","the rest of the ",2221,6.59248924023239e-05
"4","for the first time ",2084,6.18583862073133e-05
"5","thanks for the follow ",2033,6.03445773317985e-05
"6","at the same time ",1694,5.02822006886702e-05
"7","is going to be ",1470,4.36333146471932e-05
"8","is one of the ",1414,4.19710931368239e-05
"9","one of the most ",1398,4.14961727052898e-05
"10","when it comes to ",1341,3.98042686679497e-05
"11","in the middle of ",1281,3.80233170496969e-05
"12","to be able to ",1227,3.64204605932694e-05
"13","going to be a ",1226,3.63907780662985e-05
"14","thanks for the rt ",1140,3.38380807468029e-05
"15","if you want to ",1115,3.30960175725309e-05
"16","thank you for the ",1054,3.12853834273072e-05
"17","one of the best ",1014,3.0098082348472e-05
"18","can't wait to see ",938,2.78422102986852e-05
"19","in the united states ",856,2.5408243087073e-05
"20","thank you so much ",846,2.51114178173642e-05
"21","i am going to ",842,2.49926877094807e-05
"22","i don't want to ",805,2.38944342115582e-05
"23","i would like to ",778,2.30930059833444e-05
"24","the middle of the ",766,2.27368156596939e-05
"25","for the rest of ",756,2.24399903899851e-05
"26","one of my favorite ",744,2.20838000663345e-05
"27","the top of the ",727,2.15791971078296e-05
"28","by the end of ",727,2.15791971078296e-05
"29","was one of the ",722,2.14307844729752e-05
"30","i was going to ",722,2.14307844729752e-05
"31","a lot of people ",716,2.12526893111499e-05
"32","it's going to be ",714,2.11933242572081e-05
"33","as well as the ",687,2.03918960289944e-05
"34","i can't wait to ",683,2.02731659211108e-05
"35","on the other hand ",671,1.99169755974603e-05
"36","i wish i could ",667,1.97982454895768e-05
"37","in front of the ",650,1.92936425310718e-05
"38","i would love to ",649,1.92639600041009e-05
"39","what do you think ",639,1.89671347343921e-05
"40","the first time in ",639,1.89671347343921e-05
"41","to go to the ",636,1.88780871534795e-05
"42","a bit of a ",635,1.88484046265086e-05
"43","said in a statement ",634,1.88187220995377e-05
"44","have a lot of ",607,1.8017293871324e-05
"45","the bottom of the ",607,1.8017293871324e-05
"46","a member of the ",594,1.76314210207026e-05
"47","will be able to ",588,1.74533258588773e-05
"48","at the university of ",572,1.69784054273432e-05
"49","i want to be ",570,1.69190403734014e-05
"50","going to have to ",562,1.66815801576344e-05
"51","i just want to ",551,1.63550723609547e-05
"52","are you going to ",543,1.61176121451877e-05
"53","have a great day ",538,1.59691995103333e-05
"54","for a long time ",535,1.58801519294207e-05
"55","a little bit of ",533,1.58207868754789e-05
"56","hope to see you ",532,1.5791104348508e-05
"57","as much as i ",531,1.57614218215371e-05
"58","i was able to ",522,1.54942790787992e-05
"59","thanks so much for ",522,1.54942790787992e-05
"60","in the first place ",513,1.52271363360613e-05
"61","on my way to ",503,1.49303110663525e-05
"62","have a great weekend ",490,1.45444382157311e-05
"63","are going to be ",490,1.45444382157311e-05
"64","at the top of ",485,1.43960255808767e-05
"65","was going to be ",481,1.42772954729931e-05
"66","i have no idea ",479,1.42179304190514e-05
"67","i thought it was ",476,1.41288828381387e-05
"68","let me know if ",470,1.39507876763135e-05
"69","as a result of ",469,1.39211051493426e-05
"70","the back of the ",465,1.38023750414591e-05
"71","as part of the ",463,1.37430099875173e-05
"72","i don't know what ",463,1.37430099875173e-05
"73","the best way to ",462,1.37133274605464e-05
"74","i have to say ",456,1.35352322987212e-05
"75","nothing to do with ",454,1.34758672447794e-05
"76","looking forward to the ",452,1.34165021908376e-05
"77","had a great time ",448,1.32977720829541e-05
"78","end of the day ",444,1.31790419750706e-05
"79","we are going to ",441,1.3089994394158e-05
"80","i look forward to ",433,1.28525341783909e-05
"81","there are so many ",431,1.27931691244492e-05
"82","for the most part ",431,1.27931691244492e-05
"83","to do with the ",426,1.26447564895948e-05
"84","i don't know if ",425,1.26150739626239e-05
"85","to be in the ",425,1.26150739626239e-05
"86","thanks for the mention ",414,1.22885661659442e-05
"87","on the other side ",408,1.21104710041189e-05
"88","the beginning of the ",404,1.19917408962354e-05
"89","a few years ago ",403,1.19620583692645e-05
"90","you don't have to ",402,1.19323758422936e-05
"91","to get out of ",401,1.19026933153228e-05
"92","if you have a ",398,1.18136457344101e-05
"93","i feel like i ",397,1.17839632074392e-05
"94","a lot of time ",392,1.16355505725849e-05
"95","in the form of ",388,1.15168204647013e-05
"96","in the midst of ",387,1.14871379377305e-05
"97","most of the time ",387,1.14871379377305e-05
"98","as one of the ",386,1.14574554107596e-05
"99","as well as a ",385,1.14277728837887e-05
"100","do you have a ",383,1.13684078298469e-05
"101","be a part of ",380,1.12793602489343e-05
"102","trying to figure out ",379,1.12496777219634e-05
"103","thank you for your ",377,1.11903126680217e-05
"104","on the way to ",375,1.11309476140799e-05
"105","it would be a ",374,1.1101265087109e-05
"106","there will be a ",373,1.10715825601381e-05
"107","so much for the ",372,1.10419000331673e-05
"108","to go back to ",366,1.0863804871342e-05
"109","turned out to be ",365,1.08341223443711e-05
"110","the other side of ",364,1.08044398174002e-05
"111","the fact that the ",362,1.07450747634585e-05
"112","in one of the ",360,1.06857097095167e-05
"113","hope you have a ",359,1.06560271825458e-05
"114","thanks for the ff ",358,1.06263446555749e-05
"115","for those of you ",355,1.05372970746623e-05
"116","of the united states ",354,1.05076145476914e-05
"117","as soon as i ",354,1.05076145476914e-05
"118","do you want to ",353,1.04779320207205e-05
"119","the first time i ",352,1.04482494937497e-05
"120","a great way to ",350,1.03888844398079e-05
"121","looking forward to seeing ",350,1.03888844398079e-05
"122","this is one of ",350,1.03888844398079e-05
"123","are a lot of ",347,1.02998368588953e-05
"124","a lot of fun ",347,1.02998368588953e-05
"125","looking forward to it ",345,1.02404718049535e-05
"126","i dont want to ",345,1.02404718049535e-05
"127","be one of the ",345,1.02404718049535e-05
"128","i wish i had ",343,1.01811067510117e-05
"129","in a way that ",341,1.012174169707e-05
"130","the fact that i ",341,1.012174169707e-05
"131","on top of the ",340,1.00920591700991e-05
"132","there are a lot ",340,1.00920591700991e-05
"133","i want to go ",340,1.00920591700991e-05
"134","i don't know how ",337,1.00030115891865e-05
"135","a few weeks ago ",337,1.00030115891865e-05
"136","to come up with ",336,9.97332906221559e-06
"137","is one of my ",335,9.94364653524471e-06
"138","should be able to ",334,9.91396400827383e-06
"139","i need to get ",333,9.88428148130295e-06
"140","a lot of the ",332,9.85459895433207e-06
"141","you are going to ",332,9.85459895433207e-06
"142","want to go to ",332,9.85459895433207e-06
"143","this is going to ",332,9.85459895433207e-06
"144","what are you doing ",330,9.79523390039031e-06
"145","at the time of ",330,9.79523390039031e-06
"146","in the first round ",329,9.76555137341943e-06
"147","to get to the ",326,9.67650379250679e-06
"148","for a couple of ",326,9.67650379250679e-06
"149","i'm not going to ",324,9.61713873856503e-06
"150","the new york times ",323,9.58745621159415e-06
"151","the start of the ",323,9.58745621159415e-06
"152","when i was a ",322,9.55777368462327e-06
"153","the name of the ",322,9.55777368462327e-06
"154","a part of the ",321,9.52809115765239e-06
"155","as part of a ",321,9.52809115765239e-06
"156","you want to be ",319,9.46872610371063e-06
"157","figure out how to ",318,9.43904357673975e-06
"158","in the second half ",318,9.43904357673975e-06
"159","you so much for ",318,9.43904357673975e-06
"160","at the beginning of ",318,9.43904357673975e-06
"161","in the first half ",318,9.43904357673975e-06
"162","that awkward moment when ",316,9.37967852279799e-06
"163","i wish i was ",315,9.34999599582711e-06
"164","those of you who ",314,9.32031346885623e-06
"165","you don't want to ",313,9.29063094188535e-06
"166","in addition to the ",313,9.29063094188535e-06
"167","in front of me ",311,9.23126588794359e-06
"168","to get back to ",309,9.17190083400183e-06
"169","it was a great ",308,9.14221830703095e-06
"170","one of the first ",308,9.14221830703095e-06
"171","the side of the ",308,9.14221830703095e-06
"172","executive director of the ",307,9.11253578006007e-06
"173","to be part of ",306,9.08285325308919e-06
"174","had a lot of ",305,9.05317072611831e-06
"175","did you know that ",305,9.05317072611831e-06
"176","in the case of ",302,8.96412314520567e-06
"177","in new york city ",302,8.96412314520567e-06
"178","me know if you ",301,8.9344406182348e-06
"179","find a way to ",301,8.9344406182348e-06
"180","in the back of ",300,8.90475809126392e-06
"181","this is the first ",299,8.87507556429304e-06
"182","a couple of weeks ",298,8.84539303732216e-06
"183","in the face of ",297,8.81571051035128e-06
"184","the first time since ",296,8.7860279833804e-06
"185","to be one of ",296,8.7860279833804e-06
"186","hope all is well ",296,8.7860279833804e-06
"187","i really want to ",296,8.7860279833804e-06
"188","would love to see ",294,8.72666292943864e-06
"189","i had no idea ",294,8.72666292943864e-06
"190","you have to be ",294,8.72666292943864e-06
"191","to take care of ",294,8.72666292943864e-06
"192","it was a good ",292,8.66729787549688e-06
"193","and the rest of ",291,8.637615348526e-06
"194","to be on the ",291,8.637615348526e-06
"195","thought it would be ",288,8.54856776761336e-06
"196","for the shout out ",287,8.51888524064248e-06
"197","know what to do ",287,8.51888524064248e-06
"198","take a look at ",286,8.4892027136716e-06
"199","thanks for the shout ",284,8.42983765972984e-06
"200","the center of the ",284,8.42983765972984e-06
"201","a lot of things ",283,8.40015513275896e-06
"202","this is not a ",283,8.40015513275896e-06
"203","in the process of ",282,8.37047260578808e-06
"204","i don't have to ",281,8.3407900788172e-06
"205","to be a good ",281,8.3407900788172e-06
"206","i want to do ",281,8.3407900788172e-06
"207","it would have been ",280,8.31110755184632e-06
"208","i love you so ",280,8.31110755184632e-06
"209","to make sure that ",280,8.31110755184632e-06
"210","the rest of my ",279,8.28142502487544e-06
"211","you would like to ",278,8.25174249790456e-06
"212","at a time when ",277,8.22205997093368e-06
"213","this time of year ",277,8.22205997093368e-06
"214","wait to see you ",276,8.1923774439628e-06
"215","it will be a ",276,8.1923774439628e-06
"216","i thought i was ",276,8.1923774439628e-06
"217","you have to do ",275,8.16269491699192e-06
"218","some of the best ",274,8.13301239002104e-06
"219","other side of the ",273,8.10332986305016e-06
"220","not going to be ",273,8.10332986305016e-06
"221","at the bottom of ",272,8.07364733607928e-06
"222","and one of the ",272,8.07364733607928e-06
"223","i didn't want to ",271,8.0439648091084e-06
"224","a great deal of ",271,8.0439648091084e-06
"225","you have a great ",269,7.98459975516664e-06
"226","the rest of us ",268,7.95491722819577e-06
"227","to be a part ",268,7.95491722819577e-06
"228","and a lot of ",267,7.92523470122489e-06
"229","some of the most ",266,7.895552174254e-06
"230","in the way of ",266,7.895552174254e-06
"231","going to be the ",266,7.895552174254e-06
"232","from time to time ",266,7.895552174254e-06
"233","contributed to this report ",265,7.86586964728313e-06
"234","the only way to ",265,7.86586964728313e-06
"235","to get rid of ",265,7.86586964728313e-06
"236","i want to see ",265,7.86586964728313e-06
"237","one of the few ",265,7.86586964728313e-06
"238","i just wanted to ",261,7.74713953939961e-06
"239","all over the world ",261,7.74713953939961e-06
"240","in the first quarter ",259,7.68777448545785e-06
